imdb_title_id,date_published,genre,duration,mean_vote
tt7288176,2018-09,Drama,96,6.5
tt7288408,2019-11,Action,103,6.7
tt7288408,2019-11,Drama,103,6.7
tt7288408,2019-11,Sci-Fi,103,6.7
tt7291408,2020-01,Drama,93,5.1
tt7292306,2019-03,Drama,114,7.2
tt7293380,2018-04,Drama,87,6.8
tt7293920,2019-11,Mystery,82,6.5
tt7293920,2019-11,Romance,82,6.5
tt7293920,2019-11,Thriller,82,6.5
tt7294150,2020-08,War,147,7.4
tt7294400,2019-01,Comedy,109,5.1
tt7294844,2019-11,Drama,95,7.1
tt7295378,2018-12,Action,89,5.8
tt7295378,2018-12,Comedy,89,5.8
tt7295378,2018-12,Crime,89,5.8
tt7295450,2018-12,Drama,90,4.8
tt7295450,2018-12,Fantasy,90,4.8
tt7295450,2018-12,Thriller,90,4.8
tt7296606,2019-09,Crime,102,6.4
tt7296606,2019-09,Mystery,102,6.4
tt7296606,2019-09,Thriller,102,6.4
tt7296624,2018-04,Comedy,106,7.3
tt7296624,2018-04,Drama,106,7.3
tt7296782,2019-01,Animation,92,6.9
tt7296782,2019-01,Adventure,92,6.9
tt7296782,2019-01,Comedy,92,6.9
tt7297336,2018-05,Comedy,101,5.7
tt7297336,2018-05,Sci-Fi,101,5.7
tt7297336,2018-05,Thriller,101,5.7
tt7297966,2018-09,Drama,87,8.0
tt7298886,2019-03,Drama,85,6.3
tt7298886,2019-03,History,85,6.3
tt7299298,2019-02,Horror,122,6.3
tt7299298,2019-02,Mystery,122,6.3
tt7299298,2019-02,Thriller,122,6.3
tt7299346,2018-05,Drama,110,6.3
tt7299388,2018-05,Drama,107,5.3
tt7302054,2019-12,Comedy,90,5.2
tt7303530,2019-07,Adventure,99,6.4
tt7303530,2019-07,Drama,99,6.4
tt7304032,2018-01,Comedy,105,5.0
tt7304136,2020-07,Drama,77,5.7
tt7304194,2018-08,Drama,60,5.4
tt7304194,2018-08,Mystery,60,5.4
tt7304194,2018-08,Thriller,60,5.4
tt7304196,2018-10,Comedy,96,6.9
tt7304196,2018-10,Drama,96,6.9
tt7304196,2018-10,Family,96,6.9
tt7304212,2019-04,Comedy,100,6.0
tt7304212,2019-04,Romance,100,6.0
tt7304802,2019-12,Crime,121,6.2
tt7304802,2019-12,Thriller,121,6.2
tt7304806,2018-09,Horror,61,4.5
tt7304824,2020-07,Crime,139,6.2
tt7304824,2020-07,Thriller,139,6.2
tt7305366,2018-05,Comedy,99,6.7
tt7305366,2018-05,Drama,99,6.7
tt7308310,2020-03,Drama,105,5.7
tt7310440,2019-08,Adventure,81,5.6
tt7310440,2019-08,Comedy,81,5.6
tt7310440,2019-08,Crime,81,5.6
tt7311036,2020-05,Drama,90,5.4
tt7311770,2020-03,Comedy,101,4.4
tt7313218,2018-04,Drama,85,6.7
tt7313348,2019-08,Drama,98,5.5
tt7313348,2019-08,Thriller,98,5.5
tt7313518,2018-04,Comedy,96,5.6
tt7313518,2018-04,Drama,96,5.6
tt7313518,2018-04,Romance,96,5.6
